Class,Accuracy,Precision,Recall,F1 Score,Epoch
0,0.9991,0.9949031600407747,0.9959183673469387,0.9954105048444671,20
1,0.9993,0.9947368421052631,0.9991189427312775,0.996923076923077,20
2,0.999,0.996116504854369,0.9941860465116279,0.9951503394762367,20
3,0.9985,0.9930624380574826,0.9920792079207921,0.9925705794947994,20
4,0.9987,0.9928789420142421,0.9938900203665988,0.9933842239185751,20
5,0.9983,0.987736900780379,0.9932735426008968,0.9904974846282839,20
6,0.999,0.9968553459119497,0.9926931106471816,0.9947698744769874,20
7,0.9981,0.9883833494675702,0.9931906614785992,0.9907811741872878,20
8,0.9993,0.9989680082559339,0.9938398357289527,0.9963973237261966,20
9,0.9981,0.9930278884462151,0.9881070366699702,0.9905613512170889,20
